date,count,uniques
2026-06-30,83,12
2026-07-01,5,3
2026-07-02,15,10
2026-07-03,8,5
2026-07-04,5,4
2026-07-05,15,6
2026-07-06,27,5
2026-07-07,266,21
2026-07-08,94,13
2026-07-09,111,12
2026-07-10,51,14
2026-07-11,95,16
2026-07-12,28,7
2026-07-13,3,2
2026-07-14,82,23
2026-07-15,87,40
2026-07-16,118,35
2026-07-17,103,36
2026-07-18,4,3
2026-07-19,21,14
2026-07-20,59,7
2026-07-21,31,4
2026-07-22,11,3
2026-07-23,4,3
2026-07-24,31,20
2026-07-25,44,19
2026-07-26,151,68
2026-07-27,40,25
2026-07-28,28,23
2026-07-29,36,19
2026-07-30,40,21
2026-07-31,34,20
