snapshot_date,referrer,count,uniques
"2026-08-19","Bing",8,1
"2026-08-19","DuckDuckGo",3,1
"2026-08-19","Google",85,31
"2026-08-19","chatgpt.com",2,1
"2026-08-19","databricks.com",2,1
"2026-08-19","entrada.ai",1,1
"2026-08-19","github.com",138,31
"2026-08-19","lakebase-cookbook.com",1,1
"2026-08-19","qwant.com",1,1
"2026-08-19","teams.public.onecdn.static.microsoft",16,6
"2026-08-20","Bing",8,1
"2026-08-20","DuckDuckGo",3,1
"2026-08-20","Google",59,27
"2026-08-20","chatgpt.com",2,1
"2026-08-20","databricks.com",2,1
"2026-08-20","entrada.ai",1,1
"2026-08-20","github.com",129,28
"2026-08-20","lakebase-cookbook.com",1,1
"2026-08-20","teams.public.onecdn.static.microsoft",15,5
"2026-08-20","youtube.com",1,1
